q,no_rehash,doubling,addition
4,726,0,0
5,310,0,0
6,170,0,0
7,73,0,0
8,36,0,0
9,20,0,0
10,9,0,0
11,6,0,0
12,3,0,0
13,1,0,0
14,2,0,0
15,1,0,0
16,0,0,0
17,0,0,0
